customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost
5009,201,coffee powder,2026-01-30,2010,246.73,2,493.46
5010,226,sugar,2026-01-30,2261,171.71,3,515.13
5008,204,quaker oats,2026-01-30,2043,105.96,10,1059.6
5005,238,cooking salt,2026-01-30,2384,146.43,8,1171.44
5001,216,toothpaste,2026-01-30,2164,44.37,8,354.96
5011,207,dantkanti,2026-01-30,2070,91.89,7,643.23
5023,207,shampoo,2026-01-30,2073,120.62,8,964.96
5010,217,sugar,2026-01-30,2171,63.26,8,506.08
5007,230,besan,2026-01-30,2301,188.4,10,1884.0
5037,230,energy drink,2026-01-30,2301,151.53,4,606.12
5023,207,maida,2026-01-30,2073,278.16,2,556.32
5038,218,dantkanti,2026-01-30,2184,33.4,8,267.2
5016,209,energy drink,2026-01-30,2092,229.4,1,229.4
5001,209,besan,2026-01-30,2092,181.72,1,181.72
5012,215,nutrella,2026-01-30,2154,167.44,5,837.2
5023,213,coffee powder,2026-01-30,2133,276.66,2,553.32
5024,216,dantkanti,2026-01-30,2163,181.43,7,1270.01
5024,213,refined oil,2026-01-30,2131,131.77,8,1054.16
5021,202,spices mix,2026-01-30,2024,140.63,7,984.41
5034,206,energy drink,2026-01-30,2062,150.62,7,1054.34
5019,220,dish soap,2026-01-30,2203,45.92,10,459.2
5026,205,floor cleaner,2026-01-30,2050,82.1,7,574.7
5003,207,clinic plus,2026-01-30,2073,228.03,6,1368.18
5005,239,refined oil,2026-01-30,2394,124.47,7,871.29
5026,222,nutrella,2026-01-30,2222,179.62,9,1616.58
5041,218,milk powder,2026-01-30,2181,237.29,3,711.87
5003,218,toothpaste,2026-01-30,2183,37.76,3,113.28
5014,212,cooking salt,2026-01-30,2121,123.43,4,493.72
5008,203,floor cleaner,2026-01-30,2033,225.62,5,1128.1
5038,215,coffee powder,2026-01-30,2154,96.04,3,288.12
5042,206,sugar,2026-01-30,2064,272.34,4,1089.36
5015,232,milk powder,2026-01-30,2321,129.06,2,258.12
5005,227,toothpaste,2026-01-30,2273,87.76,1,87.76
5015,205,sugar,2026-01-30,2050,141.3,2,282.6
5011,222,spices mix,2026-01-30,2220,285.48,1,285.48
5045,213,milk powder,2026-01-30,2133,192.45,3,577.35
5038,206,spices mix,2026-01-30,2064,208.55,6,1251.3
5025,218,spices mix,2026-01-30,2180,41.51,4,166.04
5032,234,milk powder,2026-01-30,2340,210.74,4,842.96
5007,232,spices mix,2026-01-30,2322,293.86,4,1175.44
5024,240,spices mix,2026-01-30,2401,176.15,9,1585.35
5013,201,dish soap,2026-01-30,2011,275.82,10,2758.2
5025,205,quaker oats,2026-01-30,2050,97.98,10,979.8
5039,231,cooking salt,2026-01-30,2310,162.99,9,1466.91
5022,219,energy drink,2026-01-30,2191,150.23,4,600.92
5015,213,energy drink,2026-01-30,2133,207.58,9,1868.22
5014,221,dantkanti,2026-01-30,2213,225.36,7,1577.52
5043,204,refined oil,2026-01-30,2041,272.34,4,1089.36
5008,225,nutrella,2026-01-30,2253,116.16,10,1161.6
5002,212,energy drink,2026-01-30,2122,107.43,2,214.86
5012,219,dantkanti,2026-01-30,2192,23.94,2,47.88
5009,206,butter,2026-01-30,2061,256.59,1,256.59
5024,228,fruit juice,2026-01-30,2283,206.1,10,2061.0
5044,208,nutrella,2026-01-30,2081,148.07,5,740.35
5042,203,maida,2026-01-30,2030,207.88,9,1870.92
5042,220,toothpaste,2026-01-30,2201,187.84,6,1127.04
5009,205,maida,2026-01-30,2052,50.55,4,202.2
5024,220,energy drink,2026-01-30,2201,74.31,8,594.48
5027,226,coffee powder,2026-01-30,2264,139.62,4,558.48
5045,232,dantkanti,2026-01-30,2324,259.88,3,779.64
5008,206,dish soap,2026-01-30,2060,84.36,7,590.52
5039,201,dantkanti,2026-01-30,2012,299.06,2,598.12
5006,216,toothpaste,2026-01-30,2163,251.92,1,251.92
5024,233,milk powder,2026-01-30,2334,161.64,9,1454.76
5013,230,energy drink,2026-01-30,2301,37.14,10,371.4
5043,203,cooking salt,2026-01-30,2033,272.92,2,545.84
5043,213,coffee powder,2026-01-30,2134,55.8,10,558.0
